2025-04-03 20:04:29,096 [__main__] [INFO] Initializing Ray...
2025-04-03 20:04:34,520 [__main__] [INFO] Creating temporary environment to get action/observation spaces...
2025-04-03 20:04:34,522 [src.satellite_marl_env] [INFO] SatelliteMARLEnv closed.
2025-04-03 20:04:34,522 [__main__] [INFO] Spaces retrieved.
2025-04-03 20:04:34,522 [__main__] [INFO] Configuring RLlib PPO Algorithm...
2025-04-03 20:04:34,523 [__main__] [INFO] Building Algorithm...
2025-04-03 20:04:47,400 [__main__] [INFO] Algorithm Built. Using Policy/Module Class: DefaultPPOTorchRLModule
2025-04-03 20:04:47,401 [__main__] [INFO] 
--- Starting Training for 100 iterations ---
2025-04-03 20:04:49,555 [__main__] [INFO] Iter: 1/100, Ts(iter): 0, Ts(total): 4000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.15s
2025-04-03 20:04:51,798 [__main__] [INFO] Iter: 2/100, Ts(iter): 0, Ts(total): 8000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.24s
2025-04-03 20:04:54,170 [__main__] [INFO] Iter: 3/100, Ts(iter): 0, Ts(total): 12000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.37s
2025-04-03 20:04:56,162 [__main__] [INFO] Iter: 4/100, Ts(iter): 0, Ts(total): 16000, Reward (Eval/Sample): nan, Loss: nan, Time: 1.99s
2025-04-03 20:04:58,501 [__main__] [INFO] Iter: 5/100, Ts(iter): 0, Ts(total): 20000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.34s
2025-04-03 20:05:00,766 [__main__] [INFO] Iter: 6/100, Ts(iter): 0, Ts(total): 24000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.26s
2025-04-03 20:05:03,028 [__main__] [INFO] Iter: 7/100, Ts(iter): 0, Ts(total): 28000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.26s
2025-04-03 20:05:05,478 [__main__] [INFO] Iter: 8/100, Ts(iter): 0, Ts(total): 32000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.45s
2025-04-03 20:05:07,824 [__main__] [INFO] Iter: 9/100, Ts(iter): 0, Ts(total): 36000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.35s
2025-04-03 20:05:10,964 [__main__] [INFO] Iter: 10/100, Ts(iter): 0, Ts(total): 40000, Reward (Eval/Sample): nan, Loss: nan, Time: 3.14s
2025-04-03 20:05:13,284 [__main__] [INFO] Iter: 11/100, Ts(iter): 0, Ts(total): 44000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.32s
2025-04-03 20:05:15,814 [__main__] [INFO] Iter: 12/100, Ts(iter): 0, Ts(total): 48000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.53s
2025-04-03 20:05:18,332 [__main__] [INFO] Iter: 13/100, Ts(iter): 0, Ts(total): 52000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.52s
2025-04-03 20:05:20,478 [__main__] [INFO] Iter: 14/100, Ts(iter): 0, Ts(total): 56000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.15s
2025-04-03 20:05:22,679 [__main__] [INFO] Iter: 15/100, Ts(iter): 0, Ts(total): 60000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.20s
2025-04-03 20:05:25,031 [__main__] [INFO] Iter: 16/100, Ts(iter): 0, Ts(total): 64000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.35s
2025-04-03 20:05:27,424 [__main__] [INFO] Iter: 17/100, Ts(iter): 0, Ts(total): 68000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.39s
2025-04-03 20:05:30,238 [__main__] [INFO] Iter: 18/100, Ts(iter): 0, Ts(total): 72000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.81s
2025-04-03 20:05:32,319 [__main__] [INFO] Iter: 19/100, Ts(iter): 0, Ts(total): 76000, Reward (Eval/Sample): nan, Loss: nan, Time: 2.08s
2025-04-03 20:05:35,622 [__main__] [INFO] Iter: 20/100, Ts(iter): 0, Ts(total): 80000, Reward (Eval/Sample): nan, Loss: nan, Time: 3.30s
